Country,Date,search_index
World,2020-01-26,3.0
World,2020-02-02,3.0
World,2020-02-09,4.0
World,2020-02-16,4.0
World,2020-02-23,4.0
World,2020-03-01,10.0
World,2020-03-08,30.0
World,2020-03-15,100.0
World,2020-03-22,94.0
World,2020-03-29,60.0
World,2020-04-05,49.0
World,2020-04-12,44.0
World,2020-04-19,36.0
World,2020-04-26,33.0
World,2020-05-03,27.0
World,2020-05-10,29.0
World,2020-05-17,25.0
World,2020-05-24,23.0
World,2020-05-31,21.0
World,2020-06-07,19.0
World,2020-06-14,17.0
World,2020-06-21,19.0
World,2020-06-28,16.0
World,2020-07-05,18.0
World,2020-07-12,21.0
World,2020-07-19,23.0
World,2020-07-26,22.0
World,2020-08-02,20.0
World,2020-08-09,18.0
World,2020-08-16,18.0
World,2020-08-23,17.0
World,2020-08-30,16.0
World,2020-09-06,19.0
World,2020-09-13,17.0
World,2020-09-20,18.0
World,2020-09-27,17.0
World,2020-10-04,16.0
World,2020-10-11,16.0
World,2020-10-18,19.0
World,2020-10-25,14.0
World,2020-11-01,14.0
World,2020-11-08,15.0
World,2020-11-15,15.0
World,2020-11-22,15.0
World,2020-11-29,14.0
World,2020-12-06,14.0
World,2020-12-13,14.0
World,2020-12-20,13.0
World,2020-12-27,12.0
World,2021-01-03,22.0
World,2021-01-10,19.0
World,2021-01-17,16.0
World,2021-01-24,17.0
World,2021-01-31,16.0
World,2021-02-07,14.0
World,2021-02-14,15.0
World,2021-02-21,14.0
World,2021-02-28,16.0
World,2021-03-07,14.0
World,2021-03-14,13.0
World,2021-03-21,14.0
World,2021-03-28,14.0
World,2021-04-04,16.0
World,2021-04-11,16.0
World,2021-04-18,17.0
World,2021-04-25,18.0
World,2021-05-02,17.0
World,2021-05-09,18.0
World,2021-05-16,30.0
World,2021-05-23,26.0
World,2021-05-30,24.0
World,2021-06-06,23.0
World,2021-06-13,21.0
World,2021-06-20,23.0
World,2021-06-27,27.0
World,2021-07-04,28.0
World,2021-07-11,26.0
World,2021-07-18,25.0
World,2021-07-25,23.0
World,2021-08-01,21.0
World,2021-08-08,19.0
World,2021-08-15,17.0
World,2021-08-22,19.0
World,2021-08-29,17.0
World,2021-09-05,17.0
World,2021-09-12,16.0
World,2021-09-19,15.0
World,2021-09-26,16.0
World,2021-10-03,14.0
World,2021-10-10,14.0
World,2021-10-17,14.0
World,2021-10-24,13.0
World,2021-10-31,13.0
World,2021-11-07,14.0
World,2021-11-14,15.0
World,2021-11-21,13.0
World,2021-11-28,14.0
World,2021-12-05,16.0
World,2021-12-12,14.0
World,2021-12-19,12.0
World,2021-12-26,13.0
World,2022-01-02,26.0
World,2022-01-09,23.0
World,2022-01-16,23.0
World,2022-01-23,19.0
World,2022-01-30,19.0
World,2022-02-06,21.0
World,2022-02-13,20.0
World,2022-02-20,18.0
World,2022-02-27,18.0
World,2022-03-06,19.0
World,2022-03-13,18.0
World,2022-03-20,18.0
World,2022-03-27,17.0
World,2022-04-03,18.0
World,2022-04-10,17.0
