Category: All categories

Week,export: (Brazil)
2021-05-02,70
2021-05-09,61
2021-05-16,63
2021-05-23,73
2021-05-30,63
2021-06-06,69
2021-06-13,70
2021-06-20,71
2021-06-27,65
2021-07-04,69
2021-07-11,74
2021-07-18,100
2021-07-25,69
2021-08-01,77
2021-08-08,75
2021-08-15,67
2021-08-22,85
2021-08-29,94
2021-09-05,68
2021-09-12,85
2021-09-19,86
2021-09-26,73
2021-10-03,77
2021-10-10,71
2021-10-17,77
2021-10-24,67
2021-10-31,62
2021-11-07,87
2021-11-14,70
2021-11-21,71
2021-11-28,69
2021-12-05,74
2021-12-12,62
2021-12-19,64
2021-12-26,56
2022-01-02,63
2022-01-09,72
2022-01-16,65
2022-01-23,69
2022-01-30,74
2022-02-06,85
2022-02-13,73
2022-02-20,80
2022-02-27,67
2022-03-06,69
2022-03-13,92
2022-03-20,80
2022-03-27,67
2022-04-03,75
2022-04-10,66
2022-04-17,69
2022-04-24,0
