Category: All categories

Week,export: (Canada)
2021-05-02,89
2021-05-09,82
2021-05-16,76
2021-05-23,73
2021-05-30,75
2021-06-06,84
2021-06-13,82
2021-06-20,80
2021-06-27,65
2021-07-04,73
2021-07-11,76
2021-07-18,72
2021-07-25,79
2021-08-01,67
2021-08-08,76
2021-08-15,79
2021-08-22,77
2021-08-29,73
2021-09-05,71
2021-09-12,77
2021-09-19,81
2021-09-26,94
2021-10-03,87
2021-10-10,78
2021-10-17,93
2021-10-24,77
2021-10-31,86
2021-11-07,77
2021-11-14,84
2021-11-21,85
2021-11-28,76
2021-12-05,87
2021-12-12,78
2021-12-19,66
2021-12-26,54
2022-01-02,70
2022-01-09,81
2022-01-16,88
2022-01-23,84
2022-01-30,92
2022-02-06,85
2022-02-13,85
2022-02-20,95
2022-02-27,99
2022-03-06,100
2022-03-13,96
2022-03-20,86
2022-03-27,86
2022-04-03,92
2022-04-10,80
2022-04-17,83
2022-04-24,0
