Category: All categories

Week,export: (Cuba)
2021-05-02,50
2021-05-09,51
2021-05-16,25
2021-05-23,0
2021-05-30,75
2021-06-06,75
2021-06-13,0
2021-06-20,24
2021-06-27,47
2021-07-04,92
2021-07-11,36
2021-07-18,100
2021-07-25,47
2021-08-01,0
2021-08-08,45
2021-08-15,22
2021-08-22,21
2021-08-29,42
2021-09-05,66
2021-09-12,65
2021-09-19,22
2021-09-26,21
2021-10-03,44
2021-10-10,0
2021-10-17,62
2021-10-24,0
2021-10-31,61
2021-11-07,0
2021-11-14,86
2021-11-21,21
2021-11-28,64
2021-12-05,41
2021-12-12,61
2021-12-19,67
2021-12-26,48
2022-01-02,20
2022-01-09,35
2022-01-16,70
2022-01-23,19
2022-01-30,19
2022-02-06,0
2022-02-13,55
2022-02-20,18
2022-02-27,18
2022-03-06,19
2022-03-13,36
2022-03-20,19
2022-03-27,58
2022-04-03,54
2022-04-10,0
2022-04-17,0
2022-04-24,0
