Category: All categories

Week,export: (Germany)
2021-05-02,75
2021-05-09,66
2021-05-16,72
2021-05-23,68
2021-05-30,70
2021-06-06,75
2021-06-13,69
2021-06-20,69
2021-06-27,73
2021-07-04,72
2021-07-11,65
2021-07-18,66
2021-07-25,74
2021-08-01,67
2021-08-08,65
2021-08-15,64
2021-08-22,62
2021-08-29,71
2021-09-05,68
2021-09-12,78
2021-09-19,74
2021-09-26,70
2021-10-03,74
2021-10-10,75
2021-10-17,75
2021-10-24,84
2021-10-31,72
2021-11-07,79
2021-11-14,75
2021-11-21,75
2021-11-28,78
2021-12-05,79
2021-12-12,82
2021-12-19,84
2021-12-26,56
2022-01-02,77
2022-01-09,84
2022-01-16,85
2022-01-23,92
2022-01-30,89
2022-02-06,87
2022-02-13,84
2022-02-20,100
2022-02-27,98
2022-03-06,95
2022-03-13,98
2022-03-20,98
2022-03-27,88
2022-04-03,81
2022-04-10,78
2022-04-17,75
2022-04-24,0
