Category: All categories

Week,export: (Mexico)
2021-05-02,80
2021-05-09,55
2021-05-16,81
2021-05-23,81
2021-05-30,63
2021-06-06,64
2021-06-13,66
2021-06-20,62
2021-06-27,68
2021-07-04,81
2021-07-11,66
2021-07-18,76
2021-07-25,88
2021-08-01,61
2021-08-08,75
2021-08-15,78
2021-08-22,64
2021-08-29,83
2021-09-05,78
2021-09-12,63
2021-09-19,72
2021-09-26,79
2021-10-03,78
2021-10-10,58
2021-10-17,80
2021-10-24,100
2021-10-31,62
2021-11-07,77
2021-11-14,59
2021-11-21,90
2021-11-28,95
2021-12-05,86
2021-12-12,72
2021-12-19,77
2021-12-26,56
2022-01-02,70
2022-01-09,71
2022-01-16,78
2022-01-23,78
2022-01-30,82
2022-02-06,62
2022-02-13,84
2022-02-20,86
2022-02-27,86
2022-03-06,93
2022-03-13,91
2022-03-20,60
2022-03-27,90
2022-04-03,79
2022-04-10,80
2022-04-17,95
2022-04-24,0
