Category: All categories

Week,export: (Singapore)
2021-05-02,72
2021-05-09,68
2021-05-16,80
2021-05-23,72
2021-05-30,73
2021-06-06,83
2021-06-13,76
2021-06-20,72
2021-06-27,81
2021-07-04,76
2021-07-11,82
2021-07-18,65
2021-07-25,69
2021-08-01,70
2021-08-08,75
2021-08-15,80
2021-08-22,90
2021-08-29,90
2021-09-05,66
2021-09-12,76
2021-09-19,78
2021-09-26,78
2021-10-03,78
2021-10-10,74
2021-10-17,84
2021-10-24,74
2021-10-31,64
2021-11-07,83
2021-11-14,76
2021-11-21,81
2021-11-28,71
2021-12-05,76
2021-12-12,63
2021-12-19,63
2021-12-26,53
2022-01-02,65
2022-01-09,92
2022-01-16,77
2022-01-23,82
2022-01-30,62
2022-02-06,68
2022-02-13,75
2022-02-20,69
2022-02-27,86
2022-03-06,100
2022-03-13,84
2022-03-20,81
2022-03-27,78
2022-04-03,92
2022-04-10,66
2022-04-17,96
2022-04-24,0
