Category: All categories

Week,export: (Spain)
2021-05-02,66
2021-05-09,67
2021-05-16,74
2021-05-23,60
2021-05-30,73
2021-06-06,68
2021-06-13,66
2021-06-20,61
2021-06-27,66
2021-07-04,59
2021-07-11,51
2021-07-18,63
2021-07-25,62
2021-08-01,45
2021-08-08,49
2021-08-15,46
2021-08-22,50
2021-08-29,58
2021-09-05,60
2021-09-12,65
2021-09-19,63
2021-09-26,68
2021-10-03,56
2021-10-10,59
2021-10-17,69
2021-10-24,68
2021-10-31,72
2021-11-07,89
2021-11-14,71
2021-11-21,83
2021-11-28,78
2021-12-05,43
2021-12-12,70
2021-12-19,67
2021-12-26,53
2022-01-02,61
2022-01-09,82
2022-01-16,86
2022-01-23,90
2022-01-30,99
2022-02-06,91
2022-02-13,82
2022-02-20,100
2022-02-27,88
2022-03-06,88
2022-03-13,84
2022-03-20,98
2022-03-27,93
2022-04-03,94
2022-04-10,68
2022-04-17,78
2022-04-24,0
