Category: All categories

Week,export: (United States)
2021-05-02,77
2021-05-09,74
2021-05-16,75
2021-05-23,74
2021-05-30,65
2021-06-06,76
2021-06-13,72
2021-06-20,71
2021-06-27,68
2021-07-04,66
2021-07-11,76
2021-07-18,74
2021-07-25,73
2021-08-01,71
2021-08-08,70
2021-08-15,73
2021-08-22,75
2021-08-29,76
2021-09-05,73
2021-09-12,79
2021-09-19,81
2021-09-26,84
2021-10-03,80
2021-10-10,82
2021-10-17,81
2021-10-24,80
2021-10-31,81
2021-11-07,79
2021-11-14,84
2021-11-21,61
2021-11-28,79
2021-12-05,79
2021-12-12,79
2021-12-19,61
2021-12-26,57
2022-01-02,70
2022-01-09,76
2022-01-16,79
2022-01-23,84
2022-01-30,87
2022-02-06,85
2022-02-13,87
2022-02-20,90
2022-02-27,92
2022-03-06,100
2022-03-13,84
2022-03-20,82
2022-03-27,84
2022-04-03,80
2022-04-10,80
2022-04-17,83
2022-04-24,0
