Category: All categories

Week,export: (Worldwide)
2021-05-02,79
2021-05-09,78
2021-05-16,84
2021-05-23,80
2021-05-30,80
2021-06-06,81
2021-06-13,79
2021-06-20,78
2021-06-27,77
2021-07-04,76
2021-07-11,76
2021-07-18,77
2021-07-25,79
2021-08-01,75
2021-08-08,75
2021-08-15,76
2021-08-22,77
2021-08-29,78
2021-09-05,80
2021-09-12,83
2021-09-19,84
2021-09-26,83
2021-10-03,82
2021-10-10,82
2021-10-17,80
2021-10-24,81
2021-10-31,78
2021-11-07,84
2021-11-14,84
2021-11-21,79
2021-11-28,80
2021-12-05,79
2021-12-12,82
2021-12-19,71
2021-12-26,60
2022-01-02,75
2022-01-09,82
2022-01-16,84
2022-01-23,85
2022-01-30,86
2022-02-06,88
2022-02-13,89
2022-02-20,92
2022-02-27,95
2022-03-06,100
2022-03-13,90
2022-03-20,92
2022-03-27,92
2022-04-03,89
2022-04-10,83
2022-04-17,83
2022-04-24,0
