Category: All categories

Week,marriage: (Brazil)
2021-05-02,41
2021-05-09,40
2021-05-16,40
2021-05-23,43
2021-05-30,48
2021-06-06,40
2021-06-13,40
2021-06-20,42
2021-06-27,46
2021-07-04,40
2021-07-11,48
2021-07-18,67
2021-07-25,51
2021-08-01,53
2021-08-08,46
2021-08-15,46
2021-08-22,49
2021-08-29,43
2021-09-05,67
2021-09-12,80
2021-09-19,76
2021-09-26,68
2021-10-03,84
2021-10-10,100
2021-10-17,65
2021-10-24,69
2021-10-31,61
2021-11-07,43
2021-11-14,53
2021-11-21,40
2021-11-28,53
2021-12-05,55
2021-12-12,54
2021-12-19,61
2021-12-26,69
2022-01-02,76
2022-01-09,71
2022-01-16,60
2022-01-23,76
2022-01-30,59
2022-02-06,58
2022-02-13,54
2022-02-20,59
2022-02-27,57
2022-03-06,40
2022-03-13,57
2022-03-20,59
2022-03-27,65
2022-04-03,58
2022-04-10,85
2022-04-17,72
2022-04-24,0
