Category: All categories

Week,marriage: (Canada)
2021-05-02,67
2021-05-09,61
2021-05-16,66
2021-05-23,70
2021-05-30,67
2021-06-06,68
2021-06-13,70
2021-06-20,59
2021-06-27,63
2021-07-04,72
2021-07-11,75
2021-07-18,68
2021-07-25,64
2021-08-01,74
2021-08-08,75
2021-08-15,61
2021-08-22,63
2021-08-29,61
2021-09-05,67
2021-09-12,78
2021-09-19,76
2021-09-26,78
2021-10-03,81
2021-10-10,84
2021-10-17,79
2021-10-24,71
2021-10-31,73
2021-11-07,80
2021-11-14,63
2021-11-21,70
2021-11-28,63
2021-12-05,64
2021-12-12,61
2021-12-19,60
2021-12-26,63
2022-01-02,69
2022-01-09,70
2022-01-16,72
2022-01-23,81
2022-01-30,83
2022-02-06,85
2022-02-13,79
2022-02-20,81
2022-02-27,77
2022-03-06,84
2022-03-13,77
2022-03-20,91
2022-03-27,100
2022-04-03,84
2022-04-10,85
2022-04-17,79
2022-04-24,0
