Category: All categories

Week,marriage: (France)
2021-05-02,71
2021-05-09,54
2021-05-16,54
2021-05-23,53
2021-05-30,66
2021-06-06,60
2021-06-13,48
2021-06-20,55
2021-06-27,57
2021-07-04,64
2021-07-11,59
2021-07-18,61
2021-07-25,60
2021-08-01,60
2021-08-08,60
2021-08-15,65
2021-08-22,74
2021-08-29,67
2021-09-05,61
2021-09-12,100
2021-09-19,83
2021-09-26,76
2021-10-03,69
2021-10-10,77
2021-10-17,69
2021-10-24,73
2021-10-31,79
2021-11-07,75
2021-11-14,67
2021-11-21,58
2021-11-28,50
2021-12-05,73
2021-12-12,60
2021-12-19,69
2021-12-26,78
2022-01-02,72
2022-01-09,72
2022-01-16,69
2022-01-23,74
2022-01-30,71
2022-02-06,80
2022-02-13,66
2022-02-20,74
2022-02-27,74
2022-03-06,75
2022-03-13,82
2022-03-20,86
2022-03-27,79
2022-04-03,82
2022-04-10,88
2022-04-17,87
2022-04-24,0
