Category: All categories

Week,marriage: (United Kingdom)
2021-05-02,81
2021-05-09,76
2021-05-16,76
2021-05-23,78
2021-05-30,83
2021-06-06,77
2021-06-13,74
2021-06-20,76
2021-06-27,79
2021-07-04,77
2021-07-11,78
2021-07-18,71
2021-07-25,83
2021-08-01,80
2021-08-08,80
2021-08-15,82
2021-08-22,81
2021-08-29,81
2021-09-05,78
2021-09-12,75
2021-09-19,79
2021-09-26,81
2021-10-03,74
2021-10-10,91
2021-10-17,85
2021-10-24,84
2021-10-31,76
2021-11-07,76
2021-11-14,72
2021-11-21,66
2021-11-28,70
2021-12-05,73
2021-12-12,66
2021-12-19,65
2021-12-26,74
2022-01-02,88
2022-01-09,90
2022-01-16,87
2022-01-23,82
2022-01-30,84
2022-02-06,88
2022-02-13,82
2022-02-20,81
2022-02-27,79
2022-03-06,81
2022-03-13,82
2022-03-20,83
2022-03-27,100
2022-04-03,87
2022-04-10,88
2022-04-17,88
2022-04-24,0
