Category: All categories

Week,social distance: (United Kingdom)
2020-01-26,1
2020-02-02,2
2020-02-09,2
2020-02-16,1
2020-02-23,2
2020-03-01,3
2020-03-08,9
2020-03-15,100
2020-03-22,90
2020-03-29,33
2020-04-05,29
2020-04-12,25
2020-04-19,28
2020-04-26,29
2020-05-03,30
2020-05-10,51
2020-05-17,42
2020-05-24,48
2020-05-31,44
2020-06-07,40
2020-06-14,36
2020-06-21,31
2020-06-28,31
2020-07-05,29
2020-07-12,26
2020-07-19,20
2020-07-26,19
2020-08-02,18
2020-08-09,18
2020-08-16,18
2020-08-23,16
2020-08-30,18
2020-09-06,19
2020-09-13,18
2020-09-20,14
2020-09-27,10
2020-10-04,12
2020-10-11,12
2020-10-18,12
2020-10-25,12
2020-11-01,8
2020-11-08,9
2020-11-15,8
2020-11-22,6
2020-11-29,9
2020-12-06,5
2020-12-13,8
2020-12-20,6
2020-12-27,8
2021-01-03,6
2021-01-10,8
2021-01-17,8
2021-01-24,4
2021-01-31,6
2021-02-07,4
2021-02-14,5
2021-02-21,7
2021-02-28,4
2021-03-07,4
2021-03-14,5
2021-03-21,6
2021-03-28,7
2021-04-04,4
2021-04-11,7
2021-04-18,6
2021-04-25,5
2021-05-02,5
2021-05-09,6
2021-05-16,8
2021-05-23,5
2021-05-30,5
2021-06-06,4
2021-06-13,8
2021-06-20,6
2021-06-27,4
2021-07-04,6
2021-07-11,4
2021-07-18,4
2021-07-25,3
2021-08-01,3
2021-08-08,3
2021-08-15,3
2021-08-22,4
2021-08-29,3
2021-09-05,3
2021-09-12,3
2021-09-19,3
2021-09-26,2
2021-10-03,2
2021-10-10,2
2021-10-17,2
2021-10-24,2
2021-10-31,2
2021-11-07,2
2021-11-14,2
2021-11-21,2
2021-11-28,2
2021-12-05,4
2021-12-12,5
2021-12-19,2
2021-12-26,2
2022-01-02,2
2022-01-09,3
2022-01-16,2
2022-01-23,3
2022-01-30,2
2022-02-06,1
2022-02-13,1
2022-02-20,2
2022-02-27,2
2022-03-06,1
2022-03-13,1
2022-03-20,1
2022-03-27,2
2022-04-03,1
2022-04-10,1
