Category: All categories

Week,vaccine: (Australia)
2020-01-26,2
2020-02-02,2
2020-02-09,2
2020-02-16,2
2020-02-23,3
2020-03-01,5
2020-03-08,6
2020-03-15,8
2020-03-22,7
2020-03-29,8
2020-04-05,7
2020-04-12,7
2020-04-19,6
2020-04-26,6
2020-05-03,5
2020-05-10,5
2020-05-17,4
2020-05-24,4
2020-05-31,3
2020-06-07,3
2020-06-14,3
2020-06-21,3
2020-06-28,3
2020-07-05,4
2020-07-12,4
2020-07-19,5
2020-07-26,4
2020-08-02,5
2020-08-09,7
2020-08-16,8
2020-08-23,5
2020-08-30,4
2020-09-06,5
2020-09-13,4
2020-09-20,3
2020-09-27,3
2020-10-04,3
2020-10-11,3
2020-10-18,4
2020-10-25,3
2020-11-01,3
2020-11-08,7
2020-11-15,5
2020-11-22,5
2020-11-29,6
2020-12-06,8
2020-12-13,6
2020-12-20,6
2020-12-27,6
2021-01-03,8
2021-01-10,9
2021-01-17,9
2021-01-24,10
2021-01-31,9
2021-02-07,9
2021-02-14,12
2021-02-21,16
2021-02-28,12
2021-03-07,12
2021-03-14,23
2021-03-21,15
2021-03-28,16
2021-04-04,21
2021-04-11,16
2021-04-18,15
2021-04-25,14
2021-05-02,20
2021-05-09,20
2021-05-16,24
2021-05-23,44
2021-05-30,42
2021-06-06,35
2021-06-13,32
2021-06-20,33
2021-06-27,57
2021-07-04,41
2021-07-11,44
2021-07-18,51
2021-07-25,53
2021-08-01,81
2021-08-08,75
2021-08-15,82
2021-08-22,100
2021-08-29,70
2021-09-05,68
2021-09-12,65
2021-09-19,57
2021-09-26,47
2021-10-03,51
2021-10-10,49
2021-10-17,44
2021-10-24,35
2021-10-31,29
2021-11-07,32
2021-11-14,26
2021-11-21,21
2021-11-28,18
2021-12-05,18
2021-12-12,30
2021-12-19,24
2021-12-26,21
2022-01-02,35
2022-01-09,35
2022-01-16,28
2022-01-23,16
2022-01-30,14
2022-02-06,13
2022-02-13,11
2022-02-20,10
2022-02-27,9
2022-03-06,9
2022-03-13,8
2022-03-20,9
2022-03-27,8
2022-04-03,8
2022-04-10,7
