Category: All categories

Week,vaccine: (Germany)
2020-01-26,4
2020-02-02,2
2020-02-09,3
2020-02-16,2
2020-02-23,6
2020-03-01,6
2020-03-08,10
2020-03-15,16
2020-03-22,11
2020-03-29,9
2020-04-05,10
2020-04-12,9
2020-04-19,11
2020-04-26,9
2020-05-03,10
2020-05-10,8
2020-05-17,7
2020-05-24,6
2020-05-31,5
2020-06-07,5
2020-06-14,6
2020-06-21,6
2020-06-28,6
2020-07-05,6
2020-07-12,9
2020-07-19,10
2020-07-26,7
2020-08-02,7
2020-08-09,14
2020-08-16,9
2020-08-23,7
2020-08-30,7
2020-09-06,7
2020-09-13,7
2020-09-20,8
2020-09-27,7
2020-10-04,7
2020-10-11,9
2020-10-18,10
2020-10-25,9
2020-11-01,6
2020-11-08,28
2020-11-15,18
2020-11-22,14
2020-11-29,20
2020-12-06,26
2020-12-13,27
2020-12-20,30
2020-12-27,32
2021-01-03,26
2021-01-10,27
2021-01-17,25
2021-01-24,27
2021-01-31,24
2021-02-07,20
2021-02-14,23
2021-02-21,26
2021-02-28,30
2021-03-07,32
2021-03-14,37
2021-03-21,30
2021-03-28,36
2021-04-04,39
2021-04-11,39
2021-04-18,37
2021-04-25,48
2021-05-02,50
2021-05-09,54
2021-05-16,53
2021-05-23,57
2021-05-30,52
2021-06-06,58
2021-06-13,50
2021-06-20,50
2021-06-27,50
2021-07-04,43
2021-07-11,37
2021-07-18,33
2021-07-25,34
2021-08-01,53
2021-08-08,31
2021-08-15,29
2021-08-22,29
2021-08-29,46
2021-09-05,24
2021-09-12,25
2021-09-19,22
2021-09-26,17
2021-10-03,20
2021-10-10,18
2021-10-17,18
2021-10-24,18
2021-10-31,20
2021-11-07,23
2021-11-14,30
2021-11-21,39
2021-11-28,35
2021-12-05,68
2021-12-12,31
2021-12-19,29
2021-12-26,25
2022-01-02,26
2022-01-09,26
2022-01-16,100
2022-01-23,20
2022-01-30,16
2022-02-06,15
2022-02-13,12
2022-02-20,11
2022-02-27,9
2022-03-06,7
2022-03-13,8
2022-03-20,6
2022-03-27,8
2022-04-03,8
2022-04-10,5
