Category: All categories

Week,vaccine: (Israel)
2020-01-26,3
2020-02-02,4
2020-02-09,2
2020-02-16,2
2020-02-23,5
2020-03-01,4
2020-03-08,8
2020-03-15,7
2020-03-22,4
2020-03-29,7
2020-04-05,6
2020-04-12,6
2020-04-19,4
2020-04-26,6
2020-05-03,6
2020-05-10,4
2020-05-17,6
2020-05-24,5
2020-05-31,5
2020-06-07,5
2020-06-14,5
2020-06-21,5
2020-06-28,7
2020-07-05,7
2020-07-12,9
2020-07-19,9
2020-07-26,6
2020-08-02,6
2020-08-09,8
2020-08-16,6
2020-08-23,6
2020-08-30,6
2020-09-06,8
2020-09-13,7
2020-09-20,8
2020-09-27,9
2020-10-04,5
2020-10-11,6
2020-10-18,6
2020-10-25,6
2020-11-01,6
2020-11-08,16
2020-11-15,12
2020-11-22,8
2020-11-29,12
2020-12-06,25
2020-12-13,34
2020-12-20,38
2020-12-27,55
2021-01-03,47
2021-01-10,40
2021-01-17,44
2021-01-24,44
2021-01-31,41
2021-02-07,39
2021-02-14,39
2021-02-21,41
2021-02-28,33
2021-03-07,28
2021-03-14,28
2021-03-21,19
2021-03-28,21
2021-04-04,18
2021-04-11,19
2021-04-18,15
2021-04-25,16
2021-05-02,16
2021-05-09,10
2021-05-16,8
2021-05-23,11
2021-05-30,11
2021-06-06,10
2021-06-13,12
2021-06-20,12
2021-06-27,11
2021-07-04,12
2021-07-11,12
2021-07-18,10
2021-07-25,15
2021-08-01,36
2021-08-08,18
2021-08-15,100
2021-08-22,41
2021-08-29,76
2021-09-05,16
2021-09-12,17
2021-09-19,16
2021-09-26,15
2021-10-03,16
2021-10-10,12
2021-10-17,11
2021-10-24,11
2021-10-31,10
2021-11-07,7
2021-11-14,10
2021-11-21,9
2021-11-28,9
2021-12-05,8
2021-12-12,41
2021-12-19,11
2021-12-26,8
2022-01-02,11
2022-01-09,11
2022-01-16,8
2022-01-23,8
2022-01-30,6
2022-02-06,4
2022-02-13,4
2022-02-20,5
2022-02-27,4
2022-03-06,5
2022-03-13,3
2022-03-20,3
2022-03-27,4
2022-04-03,4
2022-04-10,3
