Category: All categories

Week,vaccine: (Japan)
2020-01-26,8
2020-02-02,6
2020-02-09,4
2020-02-16,7
2020-02-23,9
2020-03-01,7
2020-03-08,7
2020-03-15,11
2020-03-22,15
2020-03-29,22
2020-04-05,16
2020-04-12,14
2020-04-19,12
2020-04-26,13
2020-05-03,10
2020-05-10,12
2020-05-17,15
2020-05-24,11
2020-05-31,8
2020-06-07,9
2020-06-14,10
2020-06-21,11
2020-06-28,10
2020-07-05,9
2020-07-12,15
2020-07-19,13
2020-07-26,14
2020-08-02,15
2020-08-09,18
2020-08-16,14
2020-08-23,14
2020-08-30,16
2020-09-06,15
2020-09-13,11
2020-09-20,11
2020-09-27,12
2020-10-04,9
2020-10-11,10
2020-10-18,12
2020-10-25,11
2020-11-01,8
2020-11-08,25
2020-11-15,22
2020-11-22,18
2020-11-29,21
2020-12-06,31
2020-12-13,36
2020-12-20,25
2020-12-27,23
2021-01-03,32
2021-01-10,38
2021-01-17,34
2021-01-24,38
2021-01-31,29
2021-02-07,30
2021-02-14,35
2021-02-21,35
2021-02-28,33
2021-03-07,36
2021-03-14,35
2021-03-21,33
2021-03-28,32
2021-04-04,42
2021-04-11,43
2021-04-18,41
2021-04-25,48
2021-05-02,47
2021-05-09,57
2021-05-16,58
2021-05-23,60
2021-05-30,60
2021-06-06,67
2021-06-13,78
2021-06-20,88
2021-06-27,92
2021-07-04,93
2021-07-11,89
2021-07-18,75
2021-07-25,92
2021-08-01,91
2021-08-08,78
2021-08-15,93
2021-08-22,100
2021-08-29,92
2021-09-05,81
2021-09-12,77
2021-09-19,59
2021-09-26,60
2021-10-03,53
2021-10-10,50
2021-10-17,46
2021-10-24,44
2021-10-31,34
2021-11-07,33
2021-11-14,30
2021-11-21,32
2021-11-28,26
2021-12-05,20
2021-12-12,25
2021-12-19,23
2021-12-26,13
2022-01-02,20
2022-01-09,23
2022-01-16,23
2022-01-23,24
2022-01-30,22
2022-02-06,21
2022-02-13,22
2022-02-20,21
2022-02-27,22
2022-03-06,25
2022-03-13,22
2022-03-20,24
2022-03-27,20
2022-04-03,24
2022-04-10,21
