Category: All categories

Week,vaccine: (Netherlands)
2020-01-26,5
2020-02-02,3
2020-02-09,3
2020-02-16,2
2020-02-23,8
2020-03-01,8
2020-03-08,13
2020-03-15,19
2020-03-22,14
2020-03-29,14
2020-04-05,15
2020-04-12,15
2020-04-19,13
2020-04-26,15
2020-05-03,14
2020-05-10,15
2020-05-17,16
2020-05-24,9
2020-05-31,8
2020-06-07,11
2020-06-14,11
2020-06-21,10
2020-06-28,10
2020-07-05,9
2020-07-12,13
2020-07-19,18
2020-07-26,14
2020-08-02,14
2020-08-09,18
2020-08-16,13
2020-08-23,10
2020-08-30,14
2020-09-06,15
2020-09-13,13
2020-09-20,17
2020-09-27,13
2020-10-04,13
2020-10-11,16
2020-10-18,14
2020-10-25,18
2020-11-01,12
2020-11-08,37
2020-11-15,36
2020-11-22,24
2020-11-29,37
2020-12-06,43
2020-12-13,46
2020-12-20,43
2020-12-27,52
2021-01-03,87
2021-01-10,59
2021-01-17,50
2021-01-24,51
2021-01-31,47
2021-02-07,41
2021-02-14,39
2021-02-21,47
2021-02-28,57
2021-03-07,52
2021-03-14,53
2021-03-21,44
2021-03-28,49
2021-04-04,59
2021-04-11,63
2021-04-18,50
2021-04-25,52
2021-05-02,61
2021-05-09,64
2021-05-16,68
2021-05-23,66
2021-05-30,88
2021-06-06,93
2021-06-13,90
2021-06-20,100
2021-06-27,90
2021-07-04,77
2021-07-11,67
2021-07-18,53
2021-07-25,52
2021-08-01,54
2021-08-08,47
2021-08-15,42
2021-08-22,38
2021-08-29,28
2021-09-05,32
2021-09-12,39
2021-09-19,35
2021-09-26,32
2021-10-03,30
2021-10-10,23
2021-10-17,26
2021-10-24,30
2021-10-31,40
2021-11-07,46
2021-11-14,38
2021-11-21,33
2021-11-28,34
2021-12-05,34
2021-12-12,40
2021-12-19,35
2021-12-26,34
2022-01-02,45
2022-01-09,41
2022-01-16,32
2022-01-23,29
2022-01-30,23
2022-02-06,19
2022-02-13,15
2022-02-20,12
2022-02-27,9
2022-03-06,12
2022-03-13,10
2022-03-20,12
2022-03-27,11
2022-04-03,12
2022-04-10,10
