Category: All categories

Week,vaccine: (Poland)
2020-01-26,6
2020-02-02,4
2020-02-09,5
2020-02-16,3
2020-02-23,8
2020-03-01,6
2020-03-08,14
2020-03-15,14
2020-03-22,11
2020-03-29,13
2020-04-05,13
2020-04-12,12
2020-04-19,14
2020-04-26,9
2020-05-03,9
2020-05-10,6
2020-05-17,7
2020-05-24,7
2020-05-31,7
2020-06-07,5
2020-06-14,6
2020-06-21,5
2020-06-28,5
2020-07-05,5
2020-07-12,8
2020-07-19,11
2020-07-26,10
2020-08-02,10
2020-08-09,18
2020-08-16,10
2020-08-23,7
2020-08-30,9
2020-09-06,9
2020-09-13,7
2020-09-20,8
2020-09-27,8
2020-10-04,8
2020-10-11,10
2020-10-18,14
2020-10-25,12
2020-11-01,12
2020-11-08,30
2020-11-15,18
2020-11-22,17
2020-11-29,22
2020-12-06,38
2020-12-13,50
2020-12-20,65
2020-12-27,80
2021-01-03,65
2021-01-10,52
2021-01-17,44
2021-01-24,40
2021-01-31,44
2021-02-07,31
2021-02-14,40
2021-02-21,37
2021-02-28,45
2021-03-07,47
2021-03-14,48
2021-03-21,41
2021-03-28,45
2021-04-04,57
2021-04-11,53
2021-04-18,63
2021-04-25,76
2021-05-02,100
2021-05-09,89
2021-05-16,76
2021-05-23,65
2021-05-30,65
2021-06-06,59
2021-06-13,55
2021-06-20,83
2021-06-27,56
2021-07-04,53
2021-07-11,49
2021-07-18,45
2021-07-25,39
2021-08-01,76
2021-08-08,38
2021-08-15,33
2021-08-22,33
2021-08-29,31
2021-09-05,26
2021-09-12,25
2021-09-19,23
2021-09-26,25
2021-10-03,25
2021-10-10,24
2021-10-17,25
2021-10-24,24
2021-10-31,31
2021-11-07,27
2021-11-14,32
2021-11-21,39
2021-11-28,35
2021-12-05,38
2021-12-12,70
2021-12-19,43
2021-12-26,38
2022-01-02,41
2022-01-09,47
2022-01-16,68
2022-01-23,30
2022-01-30,25
2022-02-06,18
2022-02-13,18
2022-02-20,13
2022-02-27,12
2022-03-06,7
2022-03-13,13
2022-03-20,12
2022-03-27,10
2022-04-03,9
2022-04-10,10
