Category: All categories

Week,vaccine: (South Korea)
2020-01-26,13
2020-02-02,9
2020-02-09,6
2020-02-16,8
2020-02-23,18
2020-03-01,12
2020-03-08,16
2020-03-15,14
2020-03-22,14
2020-03-29,13
2020-04-05,13
2020-04-12,12
2020-04-19,11
2020-04-26,14
2020-05-03,13
2020-05-10,11
2020-05-17,20
2020-05-24,11
2020-05-31,13
2020-06-07,14
2020-06-14,14
2020-06-21,12
2020-06-28,12
2020-07-05,15
2020-07-12,23
2020-07-19,19
2020-07-26,17
2020-08-02,14
2020-08-09,17
2020-08-16,16
2020-08-23,19
2020-08-30,14
2020-09-06,18
2020-09-13,16
2020-09-20,22
2020-09-27,13
2020-10-04,17
2020-10-11,18
2020-10-18,24
2020-10-25,17
2020-11-01,15
2020-11-08,32
2020-11-15,30
2020-11-22,29
2020-11-29,27
2020-12-06,38
2020-12-13,44
2020-12-20,43
2020-12-27,39
2021-01-03,34
2021-01-10,33
2021-01-17,32
2021-01-24,29
2021-01-31,29
2021-02-07,25
2021-02-14,35
2021-02-21,39
2021-02-28,40
2021-03-07,43
2021-03-14,43
2021-03-21,36
2021-03-28,28
2021-04-04,40
2021-04-11,46
2021-04-18,45
2021-04-25,63
2021-05-02,53
2021-05-09,50
2021-05-16,50
2021-05-23,61
2021-05-30,85
2021-06-06,66
2021-06-13,76
2021-06-20,93
2021-06-27,51
2021-07-04,51
2021-07-11,59
2021-07-18,58
2021-07-25,68
2021-08-01,90
2021-08-08,100
2021-08-15,82
2021-08-22,73
2021-08-29,73
2021-09-05,78
2021-09-12,83
2021-09-19,67
2021-09-26,67
2021-10-03,49
2021-10-10,57
2021-10-17,50
2021-10-24,53
2021-10-31,44
2021-11-07,38
2021-11-14,31
2021-11-21,32
2021-11-28,33
2021-12-05,44
2021-12-12,98
2021-12-19,39
2021-12-26,33
2022-01-02,39
2022-01-09,38
2022-01-16,72
2022-01-23,33
2022-01-30,19
2022-02-06,31
2022-02-13,25
2022-02-20,16
2022-02-27,17
2022-03-06,17
2022-03-13,15
2022-03-20,15
2022-03-27,12
2022-04-03,12
2022-04-10,15
