Category: All categories

Week,vaccine: (United Arab Emirates)
2020-01-26,3
2020-02-02,2
2020-02-09,2
2020-02-16,2
2020-02-23,3
2020-03-01,5
2020-03-08,10
2020-03-15,14
2020-03-22,13
2020-03-29,11
2020-04-05,10
2020-04-12,8
2020-04-19,10
2020-04-26,9
2020-05-03,13
2020-05-10,11
2020-05-17,12
2020-05-24,9
2020-05-31,8
2020-06-07,7
2020-06-14,7
2020-06-21,6
2020-06-28,8
2020-07-05,9
2020-07-12,13
2020-07-19,10
2020-07-26,8
2020-08-02,9
2020-08-09,15
2020-08-16,10
2020-08-23,8
2020-08-30,7
2020-09-06,9
2020-09-13,11
2020-09-20,9
2020-09-27,8
2020-10-04,9
2020-10-11,8
2020-10-18,9
2020-10-25,8
2020-11-01,8
2020-11-08,12
2020-11-15,12
2020-11-22,11
2020-11-29,13
2020-12-06,28
2020-12-13,34
2020-12-20,34
2020-12-27,29
2021-01-03,60
2021-01-10,86
2021-01-17,100
2021-01-24,83
2021-01-31,72
2021-02-07,54
2021-02-14,40
2021-02-21,39
2021-02-28,40
2021-03-07,45
2021-03-14,47
2021-03-21,47
2021-03-28,41
2021-04-04,37
2021-04-11,35
2021-04-18,52
2021-04-25,52
2021-05-02,49
2021-05-09,33
2021-05-16,52
2021-05-23,49
2021-05-30,39
2021-06-06,38
2021-06-13,43
2021-06-20,47
2021-06-27,38
2021-07-04,33
2021-07-11,29
2021-07-18,22
2021-07-25,32
2021-08-01,40
2021-08-08,34
2021-08-15,40
2021-08-22,35
2021-08-29,36
2021-09-05,25
2021-09-12,23
2021-09-19,23
2021-09-26,19
2021-10-03,19
2021-10-10,17
2021-10-17,16
2021-10-24,14
2021-10-31,14
2021-11-07,13
2021-11-14,14
2021-11-21,13
2021-11-28,18
2021-12-05,16
2021-12-12,16
2021-12-19,17
2021-12-26,16
2022-01-02,21
2022-01-09,17
2022-01-16,18
2022-01-23,14
2022-01-30,13
2022-02-06,10
2022-02-13,9
2022-02-20,9
2022-02-27,9
2022-03-06,7
2022-03-13,8
2022-03-20,7
2022-03-27,6
2022-04-03,6
2022-04-10,6
