Category: All categories

Week,vaccine: (Iran)
2020-01-26,3
2020-02-02,4
2020-02-09,1
2020-02-16,5
2020-02-23,20
2020-03-01,12
2020-03-08,12
2020-03-15,17
2020-03-22,11
2020-03-29,10
2020-04-05,8
2020-04-12,6
2020-04-19,6
2020-04-26,8
2020-05-03,5
2020-05-10,6
2020-05-17,8
2020-05-24,6
2020-05-31,6
2020-06-07,7
2020-06-14,6
2020-06-21,7
2020-06-28,10
2020-07-05,10
2020-07-12,11
2020-07-19,12
2020-07-26,13
2020-08-02,9
2020-08-09,15
2020-08-16,9
2020-08-23,8
2020-08-30,8
2020-09-06,8
2020-09-13,6
2020-09-20,7
2020-09-27,7
2020-10-04,7
2020-10-11,9
2020-10-18,6
2020-10-25,7
2020-11-01,7
2020-11-08,14
2020-11-15,11
2020-11-22,9
2020-11-29,8
2020-12-06,11
2020-12-13,9
2020-12-20,12
2020-12-27,13
2021-01-03,11
2021-01-10,18
2021-01-17,10
2021-01-24,12
2021-01-31,20
2021-02-07,14
2021-02-14,12
2021-02-21,13
2021-02-28,15
2021-03-07,16
2021-03-14,16
2021-03-21,18
2021-03-28,20
2021-04-04,25
2021-04-11,28
2021-04-18,46
2021-04-25,45
2021-05-02,28
2021-05-09,25
2021-05-16,25
2021-05-23,27
2021-05-30,35
2021-06-06,21
2021-06-13,22
2021-06-20,28
2021-06-27,27
2021-07-04,29
2021-07-11,36
2021-07-18,42
2021-07-25,47
2021-08-01,95
2021-08-08,78
2021-08-15,73
2021-08-22,60
2021-08-29,56
2021-09-05,77
2021-09-12,100
2021-09-19,68
2021-09-26,72
2021-10-03,73
2021-10-10,61
2021-10-17,56
2021-10-24,44
2021-10-31,31
2021-11-07,29
2021-11-14,27
2021-11-21,25
2021-11-28,23
2021-12-05,31
2021-12-12,27
2021-12-19,29
2021-12-26,21
2022-01-02,15
2022-01-09,17
2022-01-16,48
2022-01-23,19
2022-01-30,24
2022-02-06,19
2022-02-13,16
2022-02-20,14
2022-02-27,15
2022-03-06,16
2022-03-13,18
2022-03-20,12
2022-03-27,11
2022-04-03,11
2022-04-10,10
