country,cluster group,policy type,policy detail,Reference
Australia,dark blue,lockdown,"""To control the second-wave covid-19 break,the Victoria experienced one of world's first long strict lockdowns"" - As a result, many adults and children are suffering from depression and anxiety, so the lockdown search index has increased during the covid break.
",https://doi.org/10.1177/00048674211065365
Australia,dark blue,mask,"At various times during the COVID-19 pandemic, state and territory governments in Australia have made it a requirement for people to wear a face mask in certain settings.",https://humanrights.gov.au/facemasks
Australia,dark blue,wfh,"Working from home is here to stay long after the COVID-19 pandemic,with a new report suggesting
 Some people might even take a pay cut to remain in their home office.Data shows percentage of Australians working from home has jumped from 8 percent to 40 per cent in the past two years.Therefore, more citizens are interested in working from home.",https://www.abc.net.au/news/2021-09-16/work-from-home-productivity-commission-study/100465258
Belgium,light blue,lockdown,"Belgium is once again imposing strict lockdown measures in the face of rising coronavirus infections, hospital admissions and deaths, announced Prime Minister Alexander De Croo during a press conference.",https://www.brusselstimes.com/138408/consultative-committee-new-measures-alexander-de-croo-covid-19-commissioner-lockdown-frank-vandenbroucke-jan-jambon-elio-di-rupo-hospitals-limit-contacts-non-essential-shops-supermarkets-autumn-holida
Belgium,light blue,mask,"Belgium will remove almost all its coronavirus restrictions, ending a requirement to wear masks in almost all places and scrapping the need to show a COVID-19 pass for indoor venues from cafes to sports halls. Prime Minister Alexander De Croo said that the major easing of measures has come almost exactly two years since the pandemic first struck the country, which is home to NATO and EU institutions.
",https://www.reuters.com/world/europe/belgium-set-remove-almost-all-covid-restrictions-2022-03-04/
Belgium,light blue,wfh,"the Concertation Committee announced a further loosening of the Covid-19 measures. homeworking is no longer mandatory,Nevertheless, the Concertation Committee invites companies and public services, in consultation with the social partners, to embed a structural regime for telework. Employers must continue to impose health and safety measures (e.g. personal hygiene, social distancing, ventilation, face mask recommended, etc. Please see below 'New generic guide'.
Mandatory work from home: work from home will be mandatory for all companies, associations and services.",https://www.simmons-simmons.com/en/publications/ck9jux1oa74ci0900pcpw833f/covid-19-belgium-to-end-all-covid-measures
Brazil,red,lockdown,"Under the leadership of president Jair Bolsonaro, the federal government in Brazil has failed to implement a systematic plan to prevent the spread covid-19.the Brazilian government has pursued a herd immunity strategy.",https://blogs.bmj.com/bmj/2021/03/05/covid-19-in-brazil-the-government-has-failed-to-prevent-the-spread-of-covid-19/
Brazil,red,mask,"president vetoed a series of legislative measures to limit the spread of covid-19, such as the mandated use of face masks in prisons;",https://blogs.bmj.com/bmj/2021/03/05/covid-19-in-brazil-the-government-has-failed-to-prevent-the-spread-of-covid-19/
Brazil,red,wfh,"The government is currently analysing the implementation of additional provisions to the remote work law to clarify grey areas such as placing the cost burden of setting up workstations and providing necessary work equipment on employers. However, companies that require employees to work from home should provide employees with the necessary tools to do their jobs.",https://boundlesshq.com/guides/brazil/remote-work/
Canada,red,lockdown,There are travel restrictions and exemptions when moving between or within some provinces and territories.,https://travel.gc.ca/travel-covid/travel-restrictions/provinces
Canada,red,mask,Government recommend that you wear a mask in public indoor settings. You should feel free to wear a mask even if it's not required in your community ,https://www.canada.ca/en/public-health/services/diseases/2019-novel-coronavirus-infection/prevention-risks.html
Canada,red,wfh,"The viability of working from home varies by salary, education level, industry and region. The extent to which Canadians engage in work that can be done from home varies widely across multiple dimensions. Nearly six in 10 (59%) of employees with a bachelor's degree or higher can work from home, compared to 10% of their peers without a high school diploma (Deng, Messacar, and Morissette 2020) 54% of dual-salaried couples in the top decile have jobs where both spouses can work from home. The corresponding percentage for dual-salaried couples in the bottom decile is 8% (Messacar, Morissette & Deng 2020)",https://www150.statcan.gc.ca/n1/pub/36-28-0001/2021010/article/00001-eng.htm
France,light blue,lockdown,"For the third time, the government of President Emmanuel Macron has placed Paris and several other regions under strict lockdown as hospitals are unable to provide intensive care beds for Covid-19 patients.",https://www.ft.com/content/22ca898c-4e34-4d59-a0ca-cda2ef5bb3f7
France,light blue,mask,"wearing a mask will no longer be compulsory on public transport in Paris and in France, but will still be recommended.

Just for information, it has no longer been compulsory to wear a mask indoors (museums, monuments, cultural and leisure venues, restaurants, etc.) in Paris and in France
","https://www.service-public.fr/particuliers/actualites/A15543?lang=en

https://en.parisinfo.com/practical-paris/info/guides/info-disruption-paris"
France,light blue,wfh,"employers are no longer required to set a minimum number of days of remote working so, legally speaking, employees may return to the office on a full-time basis. However, most companies are taking a cautious/progressive approach as remote working remains recommended. Employers just set the terms and conditions of how remote working is organised, within the framework of social dialogue (ie with employee representatives). The guidelines remind employers that they must ensure collective links are maintained within the company and prevent the risks linked to the isolation of employees working remotely.
",https://www.simmons-simmons.com/en/publications/ckgch7tn6a09k0930ybnw0v87/update-on-health-protocol-in-france
Germany,green,lockdown,"As a result, companies will no longer be obliged to allow their employees to work from home",https://www.simmons-simmons.com/en/publications/ckh1rs2cv0vmc0931oa7w6y9h/covid-19-update-on-lockdown-measures-in-germany
Germany,green,mask,German shoppers can now go without masks for the first time in two years as the country drops some coronavirus measures - despite high infection rates and boycotts by some states,https://www.dw.com/en/covid-germany-drops-mask-requirement-at-shops/a-61356022
Germany,green,wfh,"But with coronavirus infection rates currently reaching record highs, the government has decided to implement an adjusted Corona Occupational Health and Safety Ordinance. While companies will no longer be obliged to offer home working arrangements, they will have to continue to take basic protective measures to prevent infections at work.  ",https://www.iamexpat.de/career/employment-news/home-working-rule-end-germany-transitional-period-until-may-25
Hong Kong,green,lockdown,"The government has imposed the strictest social distancing measures to date, while shifting its stance on a number of plans and policies, including citywide testing, partial lockdowns, and the postponement of the chief executive election.
","
https://hongkongfp.com/2022/03/20/explainer-how-govt-covid-19-policies-have-shifted-since-the-beginning-of-the-fifth-wave/"
Hong Kong,green,mask,"The second phase of the government's easing of social distancing measures will officially begin. However, the reopening of beaches and pools, the lifting of the mask-wearing rule while exercising outdoors, and the increase in diners per table will take effect.",https://hongkongfp.com/2022/05/03/breaking-covid-19-hong-kong-to-reopen-beaches-pools-on-thur-no-masks-for-outdoor-exercise-bars-to-reopen-may-19/
Hong Kong,green,wfh,"80% HongKong Citizen want to work from home 1~2 days per week, and it urged government staff work from home ""as much as possible"", the private companies are also being encouraged to allow staff to work remotely.",https://news.rthk.hk/rthk/en/component/k2/1631806-20220203.htm
India,red,lockdown,"While the lockdown has been effective, our model suggests that completely ending the lockdown after three weeks could have considerable adverse public health ramifications.",https://crcs.seas.harvard.edu/publications/evaluating-covid-19-lockdown-policies-india-preliminary-modeling-assessment
India,red,mask,"Masks will continue to be required in certain indoor places in Italy.",https://www.channelnewsasia.com/singapore/flexible-work-arrangements-work-home-covid-19-workplace-rules-eased-tripartite-guidelines-2643036
India,red,wfh,"Government departments have announced an office attendance rate of 50%. The private sector is also asking its employees to work from home. Cognizant, Amazon, Flipkart and other IT companies have once again adopted working from home and believe all employees will be back in the office. However, most workers are not ready to return to the office again",https://www.indiatoday.in/education-today/jobs-and-careers/story/work-from-home-2022-why-indian-employees-don-t-want-to-return-at-their-workplaces-1903391-2022-01-23
Israel,light blue,lockdown,"Israel has reinstated some virus restrictions such as wearing masks and vaccinations to avoid a full lockdown.",https://www.nytimes.com/2021/08/04/world/israel-covid-restrictions-lockdown.html
Israel,light blue,mask,"Prime Minister Naftali Bennett announced that Israel will keep its indoor mask mandate in place for at least another month
Israel Lifts Indoor Mask Mandate as Coronavirus Cases Drop.","https://www.timesofisrael.com/covid-numbers-continue-their-rise-amid-fears-of-resurgent-pandemic/  
"
Israel,light blue,wfh,"Israel called on employers to switch to a work-at-home footing and tightened travel restrictions as new cases of coronavirus climb, warning that it may have to impose lockdowns.",https://www.bloomberg.com/news/articles/2021-08-04/israel-urges-work-at-home-as-cases-climb-warns-over-lockdowns
