word,freq
lockdown,79.49895894
travel,88.60964253
education,7.245810722
medical,55.38580213
treatment,35.2534126
WFH,48.65036659
vaccine,95.03955335
social distance,81.53590241
mask,70.80764021
Immigration,68.84106989
flight,46.97984813
marriage,63.30590152
export,20.52347698
lockdown,16.12320608
travel,48.54592729
education,56.57537321
medical,3.270109805
treatment,42.23415407
WFH,58.79887944
vaccine,90.28119991
social distance,33.99751734
mask,1.853971018
Immigration,74.76594089
flight,28.25933537
marriage,77.98710966
export,7.945885005
lockdown,41.93237095
travel,12.47083345
education,93.88145852
medical,64.29960365
treatment,54.91354714
WFH,46.75031937
vaccine,32.2589261
social distance,79.89257023
mask,10.4231457
Immigration,24.10621956
flight,26.39866064
marriage,28.01913563
export,32.50930321
lockdown,57.13864396
travel,92.19004005
education,91.31047532
medical,94.11726245
treatment,36.22873802
WFH,84.96538206
vaccine,17.66412989
social distance,85.0511452
mask,35.53528376
Immigration,3.633205277
flight,89.19087476
marriage,58.56886743
export,59.95124554
lockdown,48.13441773
travel,62.36554666
education,16.17212355
medical,53.14855833
treatment,23.70085963
WFH,86.71409644
vaccine,47.99302948
social distance,44.98099308
mask,32.96505222
Immigration,61.46598886
flight,30.60672031
marriage,6.935367547
export,62.40981757
lockdown,15.99400622
travel,92.61893401
education,5.283239616
medical,39.58097606
treatment,1.46897203
WFH,55.84559031
vaccine,41.18859183
social distance,6.811136511
mask,99.67999318
Immigration,17.6244343
flight,85.52723946
marriage,37.77924774
export,9.623092382
